date,site,Borough,Pathway,reasontoreside,NMCTR external delay,Total external delay days
07/06/2024,QEH,Bexley,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,5
07/06/2024,QEH,Greenwich,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",1,5
07/06/2024,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,8
07/06/2024,UHL,Bexley,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,2,9
07/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,10
08/06/2024,QEH,Bexley,Pathway 0,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,2,5
08/06/2024,QEH,Greenwich,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,3
08/06/2024,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,10
09/06/2024,QEH,Bexley,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,21
09/06/2024,QEH,Greenwich,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,4
10/06/2024,QEH,Bexley,Pathway 2,C2: care transfer hub process : awaiting necessary referrals by care transfer hub.,1,7
10/06/2024,QEH,Greenwich,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,3
10/06/2024,UHL,Lewisham,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,8
10/06/2024,UHL,Other,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,8
11/06/2024,QEH,Greenwich,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,1
11/06/2024,QEH,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,4
11/06/2024,QEH,Greenwich,Pathway 3,D11: interface process : patient/family/carer choice discussions on package still underway.,1,6
11/06/2024,UHL,Lewisham,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,10
11/06/2024,UHL,Other,Pathway 0,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,8
12/06/2024,QEH,Bexley,Pathway 0,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",2,2
12/06/2024,QEH,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,2
03/06/2024,UHL,Lewisham,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,1
04/06/2024,UHL,Bexley,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,2
04/06/2024,UHL,Lewisham,Pathway 0,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,1
05/06/2024,UHL,Bexley,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,3
05/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,6
05/06/2024,UHL,Bexley,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,1
05/06/2024,UHL,Lewisham,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,1
05/06/2024,UHL,Lewisham,Pathway 0,E11: capacity : awaiting restart of existing social care arrangements (pathway 0).,1,1
05/06/2024,UHL,Lewisham,Pathway 0,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,2
06/06/2024,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",4,12
06/06/2024,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,6
06/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,8
06/06/2024,UHL,Greenwich,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,1
06/06/2024,UHL,Lewisham,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,3
06/06/2024,UHL,Lewisham,Pathway 0,E11: capacity : awaiting restart of existing social care arrangements (pathway 0).,1,2
06/06/2024,UHL,Lewisham,Pathway 0,E4: capacity : housing provision not yet available (pathway 0 or 1).,2,8
07/06/2024,QEH,Bexley,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",2,5
07/06/2024,UHL,Greenwich,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,2
07/06/2024,UHL,Greenwich,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,9
07/06/2024,UHL,Lewisham,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",4,15
07/06/2024,UHL,Other,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,5
07/06/2024,UHL,Other,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,5
07/06/2024,UHL,Other,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,4
08/06/2024,QEH,Bexley,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,6
08/06/2024,QEH,Bexley,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",2,7
08/06/2024,UHL,Lewisham,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",4,19
08/06/2024,UHL,Other,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,6
08/06/2024,UHL,Other,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,6
09/06/2024,QEH,Bexley,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,6
09/06/2024,QEH,Bexley,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,7
09/06/2024,UHL,Lewisham,Pathway 1,D11: interface process : patient/family/carer choice discussions on package still underway.,1,7
10/06/2024,QEH,Bexley,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,7
10/06/2024,UHL,Greenwich,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,8
11/06/2024,QEH,Bexley,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,6
11/06/2024,UHL,Greenwich,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,9
11/06/2024,UHL,Lewisham,Pathway 1,D12: interface process : out-of-area discharge arrangements requested but not completed.,1,7
12/06/2024,QEH,Bexley,Pathway 2,C2: care transfer hub process : awaiting necessary referrals by care transfer hub.,1,9
12/06/2024,QEH,Bexley,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,7
12/06/2024,QEH,Greenwich,Pathway 3,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,6
12/06/2024,UHL,Other,Pathway 0,E4: capacity : housing provision not yet available (pathway 0 or 1).,1,10
13/06/2024,QEH,Greenwich,Pathway 3,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,7
14/06/2024,QEH,Bexley,Pathway 0,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",1,1
14/06/2024,UHL,Bexley,Pathway 3,E4: capacity : housing provision not yet available (pathway 0 or 1).,1,12
03/06/2024,QEH,Bexley,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,2
03/06/2024,UHL,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,1
03/06/2024,UHL,Lewisham,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,3
03/06/2024,UHL,Lewisham,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,1
04/06/2024,QEH,Bexley,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,3
04/06/2024,QEH,Bexley,Pathway 2,D8: interface process : further action requested by agreed provider.,1,1
04/06/2024,QEH,Greenwich,Pathway 3,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,2
05/06/2024,QEH,Greenwich,Pathway 1,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,3
05/06/2024,QEH,Greenwich,Pathway 2,D8: interface process : further action requested by agreed provider.,1,3
05/06/2024,UHL,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,3
05/06/2024,UHL,Lewisham,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,3
06/06/2024,QEH,Bexley,Pathway 0,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",1,2
06/06/2024,QEH,Bexley,Pathway 2,D8: interface process : further action requested by agreed provider.,1,3
06/06/2024,QEH,Greenwich,Pathway 3,D12: interface process : out-of-area discharge arrangements requested but not completed.,1,3
06/06/2024,UHL,Lewisham,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,4
06/06/2024,UHL,Lewisham,Pathway 1,E11: capacity : awaiting restart of existing social care arrangements (pathway 0).,2,4
07/06/2024,QEH,Greenwich,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
07/06/2024,QEH,Greenwich,Pathway 1,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,5
08/06/2024,QEH,Bexley,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,3
08/06/2024,UHL,Lewisham,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,8
08/06/2024,UHL,Lewisham,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,4
08/06/2024,UHL,Lewisham,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,3
09/06/2024,QEH,Greenwich,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,3
09/06/2024,QEH,Greenwich,Pathway 0,D10: interface process : self-funded care package arrangements still underway.,1,3
09/06/2024,QEH,Greenwich,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,2,14
09/06/2024,UHL,Lewisham,Pathway 0,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,4
09/06/2024,UHL,Lewisham,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,7
09/06/2024,UHL,Lewisham,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,2,11
09/06/2024,UHL,Lewisham,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,7,47
10/06/2024,QEH,Greenwich,Pathway 1,C2: care transfer hub process : awaiting necessary referrals by care transfer hub.,1,5
10/06/2024,UHL,Bexley,Pathway 1,E9: capacity : housing adaptations not yet completed (pathway 1 or 3).,2,2
11/06/2024,QEH,Bexley,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,23
11/06/2024,QEH,Greenwich,Pathway 1,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,5
11/06/2024,UHL,Bexley,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,3,24
11/06/2024,UHL,Lewisham,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,2,9
12/06/2024,QEH,Bexley,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,1
12/06/2024,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",5,33
12/06/2024,UHL,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,2,11
12/06/2024,UHL,Lewisham,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,2
13/06/2024,QEH,Bexley,Pathway 0,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,1
13/06/2024,UHL,Bexley,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,3,30
14/06/2024,QEH,Bexley,Pathway 1,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",3,8
14/06/2024,QEH,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,21
03/06/2024,QEH,Bexley,Pathway 3,D11: interface process : patient/family/carer choice discussions on package still underway.,1,1
03/06/2024,QEH,Greenwich,Pathway 2,E9: capacity : housing adaptations not yet completed (pathway 1 or 3).,1,1
03/06/2024,QEH,Greenwich,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
04/06/2024,QEH,Greenwich,Pathway 2,D8: interface process : further action requested by agreed provider.,1,2
04/06/2024,UHL,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,2
04/06/2024,UHL,Lewisham,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,2
05/06/2024,QEH,Bexley,Pathway 2,D8: interface process : further action requested by agreed provider.,1,2
05/06/2024,UHL,Lewisham,Pathway 1,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,2,6
06/06/2024,QEH,Greenwich,Pathway 1,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,4
06/06/2024,QEH,Other,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,2
06/06/2024,UHL,Lewisham,Pathway 1,E9: capacity : housing adaptations not yet completed (pathway 1 or 3).,2,6
07/06/2024,QEH,Bexley,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
07/06/2024,QEH,Greenwich,Pathway 3,D12: interface process : out-of-area discharge arrangements requested but not completed.,1,4
07/06/2024,UHL,Lewisham,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,6
07/06/2024,UHL,Lewisham,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,3
07/06/2024,UHL,Lewisham,Pathway 1,D8: interface process : further action requested by agreed provider.,1,3
07/06/2024,UHL,Other,Pathway 2,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,3
08/06/2024,QEH,Bexley,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,6
08/06/2024,QEH,Bexley,Pathway 2,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",1,5
08/06/2024,QEH,Greenwich,Pathway 0,D10: interface process : self-funded care package arrangements still underway.,1,2
08/06/2024,QEH,Greenwich,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,2,12
08/06/2024,UHL,Lewisham,Pathway 0,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,3
08/06/2024,UHL,Lewisham,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,6
08/06/2024,UHL,Lewisham,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,6,34
09/06/2024,QEH,Bexley,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,4
09/06/2024,UHL,Lewisham,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,4
10/06/2024,QEH,Greenwich,Pathway 1,"E1: capacity : home-based rehabilitation, reablement or recovery services not yet available (pathway 1).",1,5
10/06/2024,UHL,Lewisham,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,2,7
10/06/2024,UHL,Lewisham,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,7,55
11/06/2024,QEH,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,6,42
11/06/2024,QEH,Greenwich,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,4,29
12/06/2024,QEH,Greenwich,Pathway 1,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,6
12/06/2024,UHL,Lewisham,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,10
13/06/2024,QEH,Greenwich,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,2
13/06/2024,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",4,28
13/06/2024,UHL,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,2,13
13/06/2024,UHL,Lewisham,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,3
13/06/2024,UHL,Lewisham,Pathway 2,E6: capacity : mental health admitted patient care not yet available (pathway 2).,2,9
13/06/2024,UHL,Other,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,2
13/06/2024,UHL,Other,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,2,14
14/06/2024,QEH,Bexley,Pathway 0,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,2
14/06/2024,QEH,Greenwich,Pathway 1,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",5,12
14/06/2024,QEH,Greenwich,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,4,34
03/06/2024,QEH,Bexley,Pathway 0,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
03/06/2024,QEH,Greenwich,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,3
03/06/2024,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
03/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,1
03/06/2024,UHL,Lewisham,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",2,2
03/06/2024,UHL,Other,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,1
04/06/2024,QEH,Bexley,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,4
05/06/2024,QEH,Bexley,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,2
05/06/2024,QEH,Bexley,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",4,10
05/06/2024,UHL,Lewisham,Pathway 1,D11: interface process : patient/family/carer choice discussions on package still underway.,1,3
06/06/2024,QEH,Bexley,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,3
06/06/2024,QEH,Bexley,Pathway 3,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,1,1
06/06/2024,UHL,Greenwich,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
06/06/2024,UHL,Lewisham,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,6,23
07/06/2024,QEH,Bexley,Pathway 0,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",3,6
07/06/2024,QEH,Greenwich,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,4,18
07/06/2024,UHL,Greenwich,Pathway 0,E9: capacity : housing adaptations not yet completed (pathway 1 or 3).,1,3
07/06/2024,UHL,Lewisham,Pathway 0,E4: capacity : housing provision not yet available (pathway 0 or 1).,1,5
08/06/2024,QEH,Bexley,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,18
08/06/2024,UHL,Bexley,Pathway 0,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,3
08/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,12
08/06/2024,UHL,Lewisham,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,3
09/06/2024,QEH,Greenwich,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,4
09/06/2024,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",5,29
09/06/2024,UHL,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,6
09/06/2024,UHL,Lewisham,Pathway 1,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,2,14
09/06/2024,UHL,Lewisham,Pathway 2,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,6
10/06/2024,QEH,Bexley,Pathway 3,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,1,5
10/06/2024,QEH,Greenwich,Pathway 1,C3: care transfer hub process : awaiting confirmation of funding eligibility.,1,8
10/06/2024,QEH,Greenwich,Pathway 1,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",2,2
10/06/2024,QEH,Greenwich,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,5,32
10/06/2024,UHL,Lewisham,Pathway 0,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,8
11/06/2024,UHL,Bexley,Pathway 1,E9: capacity : housing adaptations not yet completed (pathway 1 or 3).,2,4
11/06/2024,UHL,Greenwich,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,7
11/06/2024,UHL,Lewisham,Pathway 0,"E1: capacity : home-based rehabilitation, reablement or recovery services not yet available (pathway 1).",1,2
11/06/2024,UHL,Lewisham,Pathway 0,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,1
11/06/2024,UHL,Lewisham,Pathway 3,"E8: capacity : end-of-life care, including fast-track continuing healthcare not yet available (pathway 1 or 3).",1,1
12/06/2024,QEH,Bexley,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,4,33
12/06/2024,QEH,Bexley,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",1,6
12/06/2024,QEH,Other,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,4
12/06/2024,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,10
12/06/2024,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,10
03/06/2024,QEH,Bexley,Pathway 3,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",1,1
03/06/2024,QEH,Greenwich,Pathway 3,C3: care transfer hub process : awaiting confirmation of funding eligibility.,2,2
03/06/2024,QEH,Greenwich,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",1,1
03/06/2024,UHL,Lewisham,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,8,8
03/06/2024,UHL,Other,Pathway 1,"E1: capacity : home-based rehabilitation, reablement or recovery services not yet available (pathway 1).",1,1
04/06/2024,QEH,Bexley,Pathway 2,D11: interface process : patient/family/carer choice discussions on package still underway.,1,1
04/06/2024,UHL,Bexley,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,2
05/06/2024,QEH,Bexley,Pathway 0,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,1,1
05/06/2024,QEH,Bexley,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,3
06/06/2024,QEH,Greenwich,Pathway 1,E11: capacity : awaiting restart of existing social care arrangements (pathway 0).,1,4
06/06/2024,UHL,Lewisham,Pathway 1,E2: capacity : other home-based social care service not yet available (pathway 1).,2,3
07/06/2024,QEH,Bexley,Pathway 0,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,2,3
07/06/2024,QEH,Bexley,Pathway 2,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,2
07/06/2024,QEH,Greenwich,Pathway 3,D11: interface process : patient/family/carer choice discussions on package still underway.,1,3
07/06/2024,UHL,Lewisham,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,5
08/06/2024,QEH,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,4,22
08/06/2024,UHL,Greenwich,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,11
08/06/2024,UHL,Lewisham,Pathway 1,E2: capacity : other home-based social care service not yet available (pathway 1).,1,4
08/06/2024,UHL,Other,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,3
08/06/2024,UHL,Other,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,5
09/06/2024,QEH,Bexley,Pathway 2,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,4
09/06/2024,QEH,Greenwich,Pathway 1,"E1: capacity : home-based rehabilitation, reablement or recovery services not yet available (pathway 1).",1,4
10/06/2024,QEH,Greenwich,Pathway 0,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,1
